translator_dim.translator_key,translator_dim.translator_id,translator_dim.translator_name,translator_dim.translator_addr,translator_dim.mobile,translator_dim.phone,translator_dim.ordering,translator_dim.status,translator_dim.created_time,translator_dim.created_by,translator_dim.updated_time,translator_dim.updated_by,translator_dim.cmc_id,translator_dim.valid_from,translator_dim.valid_to,translator_dim.version,translator_dim.current,translator_dim.last_mofidied
227,615,Nhóm dịch 2,N/A,N/A,N/A,0,ACT,2019-05-16 14:53:44.0,214,2019-05-16 14:54:01.0,214,615,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2019-06-19 23:21:17.0
228,621,Test Giai Cấp Vô Sản,N/A,N/A,N/A,0,ACT,2019-05-24 14:16:14.0,214,2019-06-13 15:10:20.0,214,621,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2019-06-19 23:21:17.0
229,626,Test Uy Vũ,N/A,N/A,N/A,0,ACT,2019-05-24 14:20:32.0,214,2019-06-13 15:44:02.0,214,626,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2019-06-19 23:21:17.0
230,617,Test Vân Linh San,N/A,N/A,N/A,0,ACT,2019-05-24 14:09:43.0,214,2019-06-13 16:51:53.0,214,617,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2019-06-19 23:21:17.0
231,613,Test Xinh Đẹp,N/A,N/A,N/A,0,ACT,2019-05-16 14:16:05.0,214,2019-06-13 16:52:21.0,214,613,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2019-06-19 23:21:17.0
232,618,Test nhóm 5CE,N/A,N/A,N/A,0,ACT,2019-05-24 14:12:28.0,214,2019-06-13 16:52:24.0,214,618,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2019-06-19 23:21:17.0
233,623,Test Bánh Quy Bơ,N/A,N/A,N/A,0,ACT,2019-05-24 14:17:13.0,214,2019-06-13 16:52:26.0,214,623,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2019-06-19 23:21:17.0
234,607,Test Họa Thủy Ương Ương,N/A,N/A,N/A,0,ACT,2019-05-16 14:06:18.0,214,2019-06-13 16:52:28.0,214,607,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2019-06-19 23:21:17.0
235,610,Test Mộc Yên,N/A,N/A,N/A,0,ACT,2019-05-16 14:10:01.0,214,2019-06-13 16:52:31.0,214,610,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2019-06-19 23:21:17.0
236,634,Bánh Quy Bơ_FLC,N/A,N/A,N/A,0,ACT,2019-07-18 08:10:57.0,214,2019-07-24 10:36:22.0,214,634,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2019-07-24 11:21:09.0
237,638,Tiên Huyền_FLC,N/A,N/A,N/A,0,ACT,2019-07-18 08:20:34.0,214,2019-07-24 10:36:59.0,214,638,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2019-07-24 11:21:09.0
238,643,Minh Hằng,N/A,N/A,N/A,0,ACT,2019-07-18 09:40:49.0,214,2019-07-18 09:40:49.0,214,643,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2019-07-22 11:21:09.0
