content_category_brid.content_id,content_category_brid.category_id,content_category_brid.content_type_key,content_category_brid.content_key,content_category_brid.category_key,content_category_brid.status,content_category_brid.updated_time,content_category_brid.last_mofidied
30511,153,1,13363,106,ACT,2021-03-22 08:26:52.0,2021-03-22 11:21:14.0
30513,43,1,13360,88,ACT,2021-03-22 08:31:19.0,2021-03-22 11:21:14.0
30513,71,1,13360,41,ACT,2021-03-22 08:31:19.0,2021-03-22 11:21:14.0
30513,83,1,13360,49,ACT,2021-03-22 08:31:19.0,2021-03-22 11:21:14.0
30526,71,1,13361,41,ACT,2021-03-22 08:33:37.0,2021-03-22 11:21:14.0
30526,315,1,13361,1,ACT,2021-03-22 08:33:37.0,2021-03-22 11:21:14.0
30544,79,1,13362,100,ACT,2021-03-22 08:38:31.0,2021-03-22 11:21:14.0
30544,147,1,13362,105,ACT,2021-03-22 08:38:31.0,2021-03-22 11:21:14.0
30546,45,1,13367,47,ACT,2021-03-23 07:27:06.0,2021-03-23 11:21:15.0
30546,116,1,13367,44,ACT,2021-03-23 07:27:06.0,2021-03-23 11:21:15.0
30549,57,1,13368,78,ACT,2021-03-23 07:27:11.0,2021-03-23 11:21:15.0
30549,138,1,13368,72,ACT,2021-03-23 07:27:11.0,2021-03-23 11:21:15.0
30550,41,1,13366,40,ACT,2021-03-23 07:58:17.0,2021-03-23 11:21:15.0
30550,71,1,13366,41,ACT,2021-03-23 07:58:17.0,2021-03-23 11:21:15.0
30553,40,1,13370,70,ACT,2021-03-23 08:44:05.0,2021-03-23 11:21:15.0
30553,71,1,13370,41,ACT,2021-03-23 08:44:05.0,2021-03-23 11:21:15.0
30555,79,1,13369,100,ACT,2021-03-23 08:46:13.0,2021-03-23 11:21:15.0
30555,147,1,13369,105,ACT,2021-03-23 08:46:13.0,2021-03-23 11:21:15.0
30556,57,1,13372,78,ACT,2021-03-23 11:25:18.0,2021-03-23 23:21:14.0
30556,138,1,13372,72,ACT,2021-03-23 11:25:18.0,2021-03-23 23:21:14.0
30558,61,1,13373,48,ACT,2021-03-23 11:25:30.0,2021-03-23 23:21:14.0
30558,73,1,13373,101,ACT,2021-03-23 11:25:30.0,2021-03-23 23:21:14.0
30561,309,1,13371,1,ACT,2021-03-23 11:28:04.0,2021-03-23 23:21:14.0
30561,310,1,13371,1,ACT,2021-03-23 11:28:04.0,2021-03-23 23:21:14.0
30562,79,1,13374,100,ACT,2021-03-23 17:13:46.0,2021-03-24 11:21:14.0
30562,147,1,13374,105,ACT,2021-03-23 17:13:46.0,2021-03-24 11:21:14.0
30562,150,1,13374,46,ACT,2021-03-23 17:13:46.0,2021-03-24 11:21:14.0
30570,73,1,13379,101,ACT,2021-03-24 08:20:18.0,2021-03-24 11:21:14.0
30570,155,1,13379,26,ACT,2021-03-24 08:20:18.0,2021-03-24 11:21:14.0
30573,73,1,13380,101,ACT,2021-03-24 08:20:28.0,2021-03-24 11:21:14.0
30573,155,1,13380,26,ACT,2021-03-24 08:20:28.0,2021-03-24 11:21:14.0
30576,309,1,13375,1,ACT,2021-03-24 08:41:40.0,2021-03-24 11:21:14.0
30577,309,1,13378,1,ACT,2021-03-24 08:54:19.0,2021-03-24 11:21:14.0
30577,310,1,13378,1,ACT,2021-03-24 08:54:19.0,2021-03-24 11:21:14.0
30579,61,1,13387,48,ACT,2021-03-24 17:15:01.0,2021-03-24 23:21:21.0
30579,73,1,13387,101,ACT,2021-03-24 17:15:01.0,2021-03-24 23:21:21.0
30582,41,1,13390,40,ACT,2021-03-24 17:15:07.0,2021-03-25 11:21:14.0
30582,71,1,13390,41,ACT,2021-03-24 17:15:07.0,2021-03-25 11:21:14.0
