category_dim.category_key,category_dim.category_id,category_dim.category_name,category_dim.parent_key,category_dim.parent_id,category_dim.content_type_key,category_dim.ordering,category_dim.status,category_dim.created_time,category_dim.created_by,category_dim.updated_time,category_dim.updated_by,category_dim.cmc_id,category_dim.valid_from,category_dim.valid_to,category_dim.version,category_dim.current,category_dim.last_mofidied
166,299,Kiếm hiệp,112,191,1,0,ACT,2019-09-03 14:19:05.0,214,2019-09-03 14:19:05.0,214,299,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:08:38.0
167,300,Thanh xuân vườn trường,114,195,1,0,ACT,2019-09-03 14:23:06.0,214,2019-09-03 14:23:06.0,214,300,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:08:38.0
168,303,Kinh dị,112,191,1,0,ACT,2019-09-04 10:24:43.0,214,2019-09-04 10:24:43.0,214,303,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:08:38.0
169,304,Đồng nhân,113,192,1,0,ACT,2019-09-04 10:30:43.0,214,2019-09-04 10:30:43.0,214,304,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:08:38.0
170,306,Đồng nhân,112,191,1,0,ACT,2019-09-04 10:42:13.0,214,2019-09-04 10:42:13.0,214,306,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:08:38.0
171,307,Lịch sử quân sự,112,191,1,0,ACT,2020-02-24 10:29:38.0,214,2020-02-24 10:29:38.0,214,307,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:08:38.0
172,309,Linh dị,1,0,1,0,ACT,2020-04-22 08:45:42.0,214,2022-10-09 18:10:29.0,214,309,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-10-12 02:41:51.0
173,310,Âm dương đạo sĩ,172,309,1,0,ACT,2020-04-22 13:52:58.0,214,2020-04-22 13:52:58.0,214,310,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-10-14 02:38:53.0
174,312,Đô thị,120,207,1,0,ACT,2020-04-24 17:09:49.0,214,2020-04-24 17:11:16.0,214,312,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:08:38.0
175,315,Tiên hiệp,41,71,1,0,ACT,2020-09-08 10:09:54.0,214,2020-09-08 10:09:54.0,214,315,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:08:38.0
176,159,Thể loại khác,71,69,1,0,ACT,2016-11-28 14:44:09.0,214,2016-11-29 16:58:28.0,214,159,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-01-14 02:49:56.0
177,203,ab,1,0,1,0,DEL,2022-05-16 15:30:22.0,214,2022-05-24 11:10:08.0,214,203,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-05-25 02:45:52.0
178,206,ádasd,1,0,1,8,DEL,2022-05-16 16:05:19.0,214,2022-05-23 16:52:49.0,214,206,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-05-25 02:45:52.0
179,209,Ngôn tình,1,0,1,3,DEL,2022-05-18 08:22:49.0,214,2022-05-24 14:37:23.0,214,209,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-05-25 02:45:52.0
180,236,hài hước,1,0,1,1,INA,2022-05-23 15:04:01.0,214,2022-05-30 10:20:06.0,214,236,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-05-31 02:46:53.0
181,233,45,1,0,1,1,DEL,2022-05-23 14:50:42.0,214,2022-05-30 10:19:20.0,214,233,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-05-31 02:46:53.0
182,212,giáo dục,1,0,1,2,ACT,2022-05-23 13:47:07.0,214,2022-05-27 10:13:22.0,214,212,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-05-28 02:55:51.0
183,251,Truyện đọc 7,1,0,1,0,DEL,2022-05-25 09:03:46.0,214,2022-05-30 10:19:20.0,214,251,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-05-31 02:46:53.0
184,254,Thể loại kinh dị số 6,1,0,1,6,ACT,2022-05-25 09:23:32.0,214,2022-06-06 09:20:37.0,214,254,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-06-07 02:46:52.0
185,257,Tiểu thuyết,1,0,1,1,INA,2022-05-25 10:34:24.0,214,2022-05-30 10:19:20.0,214,257,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-05-31 02:46:53.0
186,269,Thể loại 12,1,0,1,15,ACT,2022-05-26 16:13:47.0,214,2022-06-07 10:37:20.0,214,269,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-06-17 03:01:49.0
187,260,truyện ngắn,1,0,1,16,ACT,2022-05-26 10:07:59.0,214,2022-06-07 10:37:20.0,214,260,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-06-09 02:45:52.0
188,266,Trinh thám,1,0,1,5,DEL,2022-05-26 14:17:32.0,214,2022-05-30 10:20:10.0,214,266,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-05-31 02:46:53.0
189,278,Thể loại số 5,1,0,1,17,ACT,2022-05-27 10:15:32.0,214,2022-06-07 10:37:20.0,214,278,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-06-08 02:46:51.0
190,281,Hạt giống tâm hồn abc xyz,1,0,1,19,ACT,2022-05-30 10:20:30.0,214,2022-06-07 10:37:20.0,214,281,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-06-08 02:46:51.0
191,311,tâm test,1,0,1,1,ACT,2022-06-07 15:35:08.0,214,2022-06-07 15:35:08.0,214,311,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-06-08 02:46:51.0
192,323,Cổ đại,1,0,1,0,ACT,2022-08-15 14:33:24.0,214,2022-08-15 15:35:44.0,214,323,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-08-20 03:11:49.0
193,326,Huyền ảo,1,0,1,0,ACT,2022-08-15 14:34:14.0,214,2022-08-15 15:36:18.0,214,326,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-08-21 03:04:48.0
