content_publishing_house_brid.content_id,content_publishing_house_brid.publishing_house_id,content_publishing_house_brid.content_type_key,content_publishing_house_brid.status
31582,361,1,1
31585,40,1,1
31585,407,1,1
31588,40,1,1
31588,808,1,1
31588,811,1,1
31591,40,1,1
31591,387,1,1
31593,40,1,1
31593,401,1,1
31596,40,1,1
31596,369,1,1
31597,40,1,1
31597,604,1,1
31597,607,1,1
31600,40,1,1
31600,369,1,1
31603,40,1,1
31603,369,1,1
31606,40,1,1
31606,369,1,1
31608,40,1,1
31608,369,1,1
31611,40,1,1
31611,369,1,1
31612,40,1,1
31612,369,1,1
31615,40,1,1
31615,624,1,1
31618,12,1,1
31618,40,1,1
31621,12,1,1
31621,40,1,1
31624,40,1,1
31624,216,1,1
31624,230,1,1
31627,40,1,1
31627,537,1,1
31629,12,1,1
31629,40,1,1
31630,40,1,1
31630,765,1,1
31630,768,1,1
31633,40,1,1
31633,622,1,1
31633,786,1,1
31636,12,1,1
31636,40,1,1
31639,40,1,1
31639,798,1,1
31639,801,1,1
31641,40,1,1
31641,825,1,1
31644,12,1,1
31644,40,1,1
31647,40,1,1
31647,789,1,1
31647,790,1,1
31650,12,1,1
31650,40,1,1
31651,40,1,1
31651,242,1,1
31653,40,1,1
31653,690,1,1
31653,691,1,1
31654,40,1,1
31654,369,1,1
31657,40,1,1
31657,369,1,1
31659,40,1,1
31659,369,1,1
31662,40,1,1
31662,369,1,1
31665,40,1,1
31665,369,1,1
31666,40,1,1
31666,369,1,1
31668,40,1,1
31668,369,1,1
31671,40,1,1
31671,59,1,1
31672,40,1,1
31672,59,1,1
31674,40,1,1
31674,59,1,1
31675,40,1,1
31675,59,1,1
31677,40,1,1
31677,417,1,1
31678,12,1,1
31678,40,1,1
31681,40,1,1
31681,472,1,1
31681,784,1,1
31683,40,1,1
31683,361,1,1
31686,40,1,1
31686,407,1,1
31689,40,1,1
31689,604,1,1
31689,607,1,1
31690,40,1,1
31690,817,1,1
31690,822,1,1
31693,40,1,1
31693,579,1,1
31693,582,1,1
31695,40,1,1
31695,175,1,1
31696,40,1,1
31696,780,1,1
31696,783,1,1
31699,40,1,1
31699,826,1,1
31699,828,1,1
31702,40,1,1
31702,808,1,1
31702,811,1,1
31705,12,1,1
31705,40,1,1
31707,40,1,1
31707,387,1,1
31710,40,1,1
31710,401,1,1
31714,40,1,1
31714,216,1,1
31714,230,1,1
31717,40,1,1
31717,537,1,1
31719,40,1,1
31719,643,1,1
31719,646,1,1
31720,40,1,1
31720,624,1,1
31723,40,1,1
31723,622,1,1
31723,786,1,1
31725,40,1,1
31725,765,1,1
31725,768,1,1
31726,40,1,1
31726,798,1,1
31726,801,1,1
31728,40,1,1
31728,762,1,1
31729,40,1,1
31729,59,1,1
31731,40,1,1
31731,59,1,1
31732,40,1,1
31732,789,1,1
31732,790,1,1
31734,40,1,1
31734,835,1,1
31735,40,1,1
31735,690,1,1
31735,691,1,1
31738,40,1,1
31738,369,1,1
31741,40,1,1
31741,369,1,1
31744,40,1,1
31744,369,1,1
31747,40,1,1
31747,369,1,1
31750,40,1,1
31750,369,1,1
31752,40,1,1
31752,369,1,1
31753,40,1,1
31753,369,1,1
31755,40,1,1
31755,59,1,1
31758,40,1,1
31758,59,1,1
31759,40,1,1
31759,59,1,1
31762,40,1,1
31762,59,1,1
31764,40,1,1
31764,59,1,1
31767,40,1,1
31767,59,1,1
31770,40,1,1
31770,59,1,1
31771,40,1,1
31771,59,1,1
31773,40,1,1
31773,59,1,1
31774,40,1,1
31774,361,1,1
31776,40,1,1
31776,407,1,1
31777,40,1,1
31777,604,1,1
31777,607,1,1
31780,40,1,1
31780,817,1,1
31780,822,1,1
31782,40,1,1
31782,579,1,1
31782,582,1,1
31785,40,1,1
31785,175,1,1
31788,40,1,1
31788,826,1,1
31788,828,1,1
31791,40,1,1
31791,780,1,1
31791,783,1,1
31792,40,1,1
31792,242,1,1
31795,40,1,1
31795,808,1,1
31795,811,1,1
31798,40,1,1
31798,417,1,1
31801,40,1,1
31801,387,1,1
31803,40,1,1
31803,401,1,1
31804,40,1,1
31804,835,1,1
31807,40,1,1
31807,624,1,1
31810,40,1,1
31810,216,1,1
31810,230,1,1
31812,40,1,1
31812,537,1,1
31815,40,1,1
31815,838,1,1
31816,40,1,1
31816,59,1,1
31819,40,1,1
31819,622,1,1
31819,786,1,1
31821,40,1,1
31821,59,1,1
31822,40,1,1
31822,59,1,1
31825,40,1,1
31825,765,1,1
31825,768,1,1
31827,40,1,1
31827,643,1,1
31827,646,1,1
31830,40,1,1
31830,798,1,1
31830,801,1,1
31831,40,1,1
