publishing_house_dim.publishing_house_key,publishing_house_dim.publishing_house_id,publishing_house_dim.publishing_house_name,publishing_house_dim.publishing_house_addr,publishing_house_dim.publishing_house_website,publishing_house_dim.ordering,publishing_house_dim.status,publishing_house_dim.created_time,publishing_house_dim.created_by,publishing_house_dim.updated_time,publishing_house_dim.updated_by,publishing_house_dim.cmc_id,publishing_house_dim.valid_from,publishing_house_dim.valid_to,publishing_house_dim.version,publishing_house_dim.current,publishing_house_dim.last_mofidied
359,772,Fulybook_Thất duyên kiếp_FLC_TB_092020,N/A,N/A,0,ACT,2020-09-04 16:58:51.0,214,2020-09-04 16:58:51.0,214,772,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
360,775,Minh Tuệ_Quỷ giấu người_FLC_TB_092020,N/A,N/A,0,ACT,2020-09-10 22:48:08.0,214,2020-09-11 07:49:25.0,214,775,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
361,777,Mẹ Cherry_Tiếu thương khung_FLC_TB_102020,N/A,N/A,0,ACT,2020-10-12 11:49:18.0,214,2020-10-12 11:49:18.0,214,777,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
362,780,Nguyễn Ngọc Anh_Dân chơi số 1_FLC_TB_102020,N/A,N/A,0,ACT,2020-10-12 11:50:15.0,214,2020-10-12 11:50:15.0,214,780,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
363,783,Xuyên nhanh: Dân chơi số 1_快穿头号玩家,N/A,N/A,0,ACT,2020-10-12 11:51:54.0,214,2020-10-12 11:51:54.0,214,783,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
364,784,Harley_Cẩm đường QY_FLC_TB_102020,N/A,N/A,0,ACT,2020-10-22 17:15:49.0,214,2020-10-22 17:15:49.0,214,784,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
365,786,Legendary_Hoàng hà PYT_FLC_TB_102020,N/A,N/A,0,ACT,2020-10-26 16:14:40.0,214,2020-10-27 08:48:45.0,214,786,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
366,789,Vương Hằng_Nam Thành CTV_FLC_TB_122020,N/A,N/A,0,ACT,2020-12-03 11:24:25.0,214,2020-12-03 11:27:48.0,214,789,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
367,790,Nam thành chờ trăng về_南城待月归,N/A,N/A,0,ACT,2020-12-03 11:26:27.0,214,2020-12-03 11:26:27.0,214,790,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
368,792,Mẹ Cherry_Xin chào thiếu tướng ĐN_FLC_TB_122020,N/A,N/A,0,ACT,2020-12-03 11:27:32.0,214,2020-12-03 11:27:32.0,214,792,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
369,796,Nguồn gốc tội lỗi_原罪命题,N/A,N/A,0,ACT,2020-12-16 15:49:33.0,214,2020-12-16 15:49:33.0,214,796,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
370,798,Ngàn năm tương tư_道家夫夫日常记事,N/A,N/A,0,ACT,2020-12-30 16:22:30.0,214,2020-12-30 16:22:30.0,214,798,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
371,801,Half_Ngàn năm TT_FLC_TB_012021,N/A,N/A,0,ACT,2020-12-30 16:23:27.0,214,2020-12-30 16:31:33.0,214,801,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
372,802,Làm màu ký_男神的装逼日常,N/A,N/A,0,ACT,2020-12-30 16:25:30.0,214,2020-12-30 16:25:30.0,214,802,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
373,805,QueenieQ_Làm màu ký_FLC_TB_012021,N/A,N/A,0,ACT,2020-12-30 16:26:00.0,214,2020-12-30 16:26:00.0,214,805,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
374,808,LingLan_Bà Bùi EĐKH_FLC_TB_022021,N/A,N/A,0,ACT,2021-02-04 16:36:37.0,214,2021-03-18 09:33:27.0,214,808,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
375,811,"Bà Bùi, em đã kết hôn_裴太太你已婚",N/A,N/A,0,ACT,2021-02-04 16:38:02.0,214,2021-02-04 16:38:02.0,214,811,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
376,814,Rung cảm từ em_他从地狱里来,N/A,N/A,0,ACT,2021-04-01 16:17:59.0,214,2021-04-01 16:18:55.0,214,814,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
377,817,Siêu cấp cưng chiều_致命偏宠,N/A,N/A,0,ACT,2021-04-01 16:18:36.0,214,2021-04-01 16:18:36.0,214,817,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
378,820,Hàn Vũ Phi_Rung cảm TE_FLC_BL_042021,N/A,N/A,0,ACT,2021-04-01 16:20:26.0,214,2021-04-01 16:20:26.0,214,820,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
379,822,5CE_Siêu cấp CC_FLC_TB_042021,N/A,N/A,0,ACT,2021-04-01 16:21:10.0,214,2021-04-01 16:21:10.0,214,822,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
380,825,Yêu nhau rồi cũng trở về với nhau_致朝与暮,N/A,N/A,0,ACT,2021-06-02 18:21:22.0,214,2021-06-02 18:21:22.0,214,825,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
381,826,Vợ yêu là đại lão_原来夫人才是最强大佬,N/A,N/A,0,ACT,2021-06-05 01:50:04.0,214,2021-06-05 01:50:04.0,214,826,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
382,828,Legendary_Vợ yêu là ĐL_FLC_TB_062021,N/A,N/A,0,ACT,2021-06-05 01:51:13.0,214,2021-06-05 01:51:13.0,214,828,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:55.0
383,829,Dệt ngân hà cho em_乔先生的黑月光,N/A,N/A,0,ACT,2021-06-11 08:05:08.0,214,2021-06-11 08:05:08.0,214,829,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:56.0
384,832,Harley_Dệt ngân hà CE_FLC_TB_062021,N/A,N/A,0,ACT,2021-06-11 08:06:27.0,214,2021-06-11 08:06:27.0,214,832,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:34:56.0
